Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
4937500.0 ; 6.261482E-5
4938000.0 ; 6.261694E-5
4938500.0 ; 6.261905E-5
4939000.0 ; 6.262116E-5
4939500.0 ; 6.262328E-5
4940000.0 ; 6.262539E-5
4941000.0 ; 6.262962E-5
4942000.0 ; 6.263385E-5
4943000.0 ; 6.263807E-5
4944000.0 ; 6.26423E-5
4946000.0 ; 6.265075E-5
4948000.0 ; 6.265921E-5
4950000.0 ; 6.266766E-5
4952000.0 ; 6.267612E-5
4954000.0 ; 6.268457E-5
4956000.0 ; 6.269303E-5
4958000.0 ; 6.270148E-5
4960000.0 ; 6.270993E-5
4962000.0 ; 6.271839E-5
4964000.0 ; 6.272684E-5
4966000.0 ; 6.27353E-5
4968000.0 ; 6.274375E-5
4970000.0 ; 6.275221E-5
4972000.0 ; 6.276066E-5
4974000.0 ; 6.276911E-5
4976000.0 ; 6.277757E-5
4978000.0 ; 6.278602E-5
4980000.0 ; 6.279448E-5
4982000.0 ; 6.280293E-5
4984000.0 ; 6.281139E-5
4986000.0 ; 6.281984E-5
4988000.0 ; 6.282829E-5
4990000.0 ; 6.283675E-5
4992000.0 ; 6.28452E-5
4994000.0 ; 6.285366E-5
4996000.0 ; 6.286211E-5
4998000.0 ; 6.287057E-5
5000000.0 ; 6.287902E-5
5010000.0 ; 6.293745E-5
5020000.0 ; 6.299587E-5
5030000.0 ; 6.30543E-5
5040000.0 ; 6.311272E-5
5050000.0 ; 6.317115E-5
5060000.0 ; 6.322957E-5
5070000.0 ; 6.3288E-5
5080000.0 ; 6.334643E-5
5090000.0 ; 6.340485E-5
5100000.0 ; 6.346328E-5
5110000.0 ; 6.35217E-5
5120000.0 ; 6.358013E-5
5130000.0 ; 6.363856E-5
5140000.0 ; 6.369698E-5
5150000.0 ; 6.375541E-5
5160000.0 ; 6.381383E-5
5170000.0 ; 6.387226E-5
5180000.0 ; 6.393068E-5
5190000.0 ; 6.398911E-5
5200000.0 ; 6.404754E-5
5210000.0 ; 6.410596E-5
5220000.0 ; 6.416439E-5
5230000.0 ; 6.422281E-5
5240000.0 ; 6.428124E-5
5250000.0 ; 6.433967E-5
5260000.0 ; 6.439809E-5
5270000.0 ; 6.445652E-5
5280000.0 ; 6.451494E-5
5290000.0 ; 6.457337E-5
5300000.0 ; 6.463179E-5
5305000.0 ; 6.466101E-5
5310000.0 ; 6.469022E-5
5315000.0 ; 6.471943E-5
5320000.0 ; 6.474865E-5
5325000.0 ; 6.477786E-5
5330000.0 ; 6.480707E-5
5335000.0 ; 6.483628E-5
5340000.0 ; 6.48655E-5
5342000.0 ; 6.487718E-5
5344000.0 ; 6.488887E-5
5346000.0 ; 6.490055E-5
5348000.0 ; 6.491224E-5
5350000.0 ; 6.492392E-5
5352000.0 ; 6.493561E-5
5354000.0 ; 6.494729E-5
5356000.0 ; 6.495898E-5
5358000.0 ; 6.497066E-5
5360000.0 ; 6.498235E-5
5362000.0 ; 6.499403E-5
5364000.0 ; 6.500572E-5
5366000.0 ; 6.50174E-5
5368000.0 ; 6.502909E-5
5370000.0 ; 6.504077E-5
5372000.0 ; 6.505246E-5
5375000.0 ; 6.506999E-5
5380000.0 ; 6.50992E-5
5385000.0 ; 6.512841E-5
5390000.0 ; 6.515763E-5
5395000.0 ; 6.518684E-5
5400000.0 ; 6.521605E-5
5405000.0 ; 6.524526E-5
5410000.0 ; 6.527448E-5
5415000.0 ; 6.530369E-5
5420000.0 ; 6.53329E-5
5425000.0 ; 6.536212E-5
5430000.0 ; 6.539133E-5
5435000.0 ; 6.542054E-5
5440000.0 ; 6.544976E-5
5445000.0 ; 6.547897E-5
5450000.0 ; 6.550818E-5
5460000.0 ; 6.556661E-5
5470000.0 ; 6.562503E-5
5480000.0 ; 6.568346E-5
5490000.0 ; 6.574188E-5
5500000.0 ; 6.580031E-5
5520000.0 ; 6.596064E-5
5540000.0 ; 6.612098E-5
5560000.0 ; 6.628131E-5
5580000.0 ; 6.644165E-5
5600000.0 ; 6.660198E-5
5620000.0 ; 6.676231E-5
5640000.0 ; 6.692265E-5
5660000.0 ; 6.708298E-5
5680000.0 ; 6.724332E-5
5700000.0 ; 6.740365E-5
5720000.0 ; 6.756398E-5
5740000.0 ; 6.772432E-5
5760000.0 ; 6.788465E-5
5780000.0 ; 6.804499E-5
5800000.0 ; 6.820532E-5
5820000.0 ; 6.836565E-5
5840000.0 ; 6.852599E-5
5860000.0 ; 6.868632E-5
5880000.0 ; 6.884666E-5
5900000.0 ; 6.900699E-5
5920000.0 ; 6.916732E-5
5940000.0 ; 6.932766E-5
5960000.0 ; 6.948799E-5
5980000.0 ; 6.964833E-5
6000000.0 ; 6.980866E-5
6020000.0 ; 7.002898E-5
6040000.0 ; 7.02493E-5
6060000.0 ; 7.046963E-5
6080000.0 ; 7.068995E-5
6100000.0 ; 7.091027E-5
