Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
2355.576 ; 7.508154
2355.833 ; 7.507906
2356.349 ; 7.507409
2356.864 ; 7.506913
2357.895 ; 7.50592
2358.926 ; 7.504927
2360.988 ; 7.502944
2363.049 ; 7.500963
2367.49 ; 7.4967
2371.931 ; 7.492445
2380.813 ; 7.483957
2400.163 ; 7.465621
2419.513 ; 7.447382
2458.212 ; 7.411496
2535.61 ; 7.341205
2690.407 ; 7.206279
3000.0 ; 6.957055
3250.0 ; 6.774447
3500.0 ; 6.605673
3750.0 ; 6.448923
4000.0 ; 6.30269
4250.0 ; 6.16571
4500.0 ; 6.036919
5000.0 ; 5.800324
5500.0 ; 5.586989
6000.0 ; 5.392469
6500.0 ; 5.213333
7000.0 ; 5.046886
7500.0 ; 4.890975
8000.0 ; 4.743853
8500.0 ; 4.604073
9000.0 ; 4.470435
10000.0 ; 4.217587
12296.65 ; 3.680656
12392.34 ; 3.658962
12414.48 ; 3.653944
12425.55 ; 3.651433
12431.08 ; 3.650177
12433.85 ; 3.649547
12435.23 ; 3.649232
12436.61 ; 3.648918
12437.55 ; 3.648704
12438.02 ; 3.648596
12438.48 ; 3.648492
12438.95 ; 3.648385
12439.42 ; 3.648278
12439.89 ; 3.648172
12440.35 ; 3.648069
12440.59 ; 3.648016
12440.82 ; 3.647965
12441.06 ; 3.647912
12441.29 ; 3.647862
12441.53 ; 3.64781
12441.76 ; 3.647761
12441.99 ; 3.647712
12442.22 ; 3.647664
12442.46 ; 3.647614
12442.69 ; 3.647567
12442.92 ; 3.647521
12443.15 ; 3.647476
12443.62 ; 3.647386
12444.08 ; 3.647302
12444.44 ; 3.64724
12444.79 ; 3.647182
12445.5 ; 3.647071
12446.92 ; 3.646872
12447.67 ; 3.646771
12448.41 ; 3.646666
12448.81 ; 3.646605
12449.2 ; 3.64654
12449.61 ; 3.646467
12450.0 ; 3.646392
12450.41 ; 3.646306
12450.85 ; 3.646206
12451.24 ; 3.646111
12451.63 ; 3.646011
12452.4 ; 3.645798
12453.16 ; 3.645574
12453.89 ; 3.645352
12454.62 ; 3.64513
12454.99 ; 3.645019
12455.35 ; 3.644912
12455.71 ; 3.644807
12456.07 ; 3.644704
12456.52 ; 3.644578
12456.96 ; 3.644457
12457.41 ; 3.644337
12457.63 ; 3.64428
12457.85 ; 3.644223
12458.08 ; 3.644164
12458.3 ; 3.644108
12458.52 ; 3.644053
12458.74 ; 3.643998
12458.97 ; 3.643942
12459.19 ; 3.643888
12459.63 ; 3.643782
12460.08 ; 3.643674
12460.52 ; 3.64357
12460.97 ; 3.643464
12461.41 ; 3.643362
12461.86 ; 3.643257
12462.3 ; 3.643156
12463.19 ; 3.642951
12464.41 ; 3.642671
