Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
22875.68 ; 0.0052256
22883.19 ; 0.00503278
22898.22 ; 0.004776827
22913.24 ; 0.004626867
22943.3 ; 0.004460899
22973.35 ; 0.004383668
23076.4 ; 0.004336521
23222.39 ; 0.004413625
23368.38 ; 0.004535879
23660.35 ; 0.004842217
23806.34 ; 0.005025611
23879.34 ; 0.005124345
23952.33 ; 0.005228826
24025.33 ; 0.005340227
24098.32 ; 0.005458177
24171.31 ; 0.005583179
24207.81 ; 0.005648436
24244.3 ; 0.00571577
24270.07 ; 0.00576463
24295.83 ; 0.005814503
24321.59 ; 0.005865215
24347.35 ; 0.005917196
24373.12 ; 0.005970356
24386.0 ; 0.005997351
24398.88 ; 0.006024641
24411.76 ; 0.006052244
24424.64 ; 0.006080151
24437.52 ; 0.006108323
24450.4 ; 0.006136842
24458.99 ; 0.00615604
24467.58 ; 0.006175381
24476.17 ; 0.006194866
24484.75 ; 0.006214473
24493.34 ; 0.006234246
24497.64 ; 0.006244198
24501.93 ; 0.006254166
24506.23 ; 0.006264196
24510.52 ; 0.00627424
24514.81 ; 0.006284322
24519.1 ; 0.006294442
24524.47 ; 0.006307163
24527.16 ; 0.006313558
24529.84 ; 0.006319944
24532.53 ; 0.006326369
24535.21 ; 0.006332785
24537.9 ; 0.00633924
24540.58 ; 0.006345687
24543.54 ; 0.006352825
24546.49 ; 0.006359957
24549.44 ; 0.006367107
24552.39 ; 0.006374277
24555.34 ; 0.006381464
24558.29 ; 0.006388671
24561.24 ; 0.006395897
24564.19 ; 0.006403141
24570.1 ; 0.006417711
24576.0 ; 0.006432333
24581.9 ; 0.006447031
24587.8 ; 0.006461807
24593.17 ; 0.006475325
24598.54 ; 0.006488911
24603.91 ; 0.006502559
24609.27 ; 0.006516246
24620.01 ; 0.006543867
24630.74 ; 0.00657173
24641.48 ; 0.006599889
24652.21 ; 0.006628295
24662.95 ; 0.006657006
24673.68 ; 0.006685989
24687.64 ; 0.006724122
24701.59 ; 0.006762702
24715.55 ; 0.006801799
24729.5 ; 0.006841363
24743.46 ; 0.006881468
24757.41 ; 0.006922076
24785.32 ; 0.007004935
24813.23 ; 0.007089957
24841.14 ; 0.007177583
24869.05 ; 0.007267124
24896.95 ; 0.007359086
24922.72 ; 0.00744651
24948.48 ; 0.007536088
24974.24 ; 0.007627717
25000.0 ; 0.007721658
25032.6 ; 0.007844506
25065.19 ; 0.007971421
25097.79 ; 0.008102636
25130.38 ; 0.008238258
25162.98 ; 0.008378569
25195.57 ; 0.008523843
25260.75 ; 0.008829696
25325.94 ; 0.009157661
25391.13 ; 0.009509961
25456.32 ; 0.009888975
25521.5 ; 0.0102973
25566.32 ; 0.01059931
25611.14 ; 0.01091566
25655.96 ; 0.01124598
25700.77 ; 0.01160025
25790.41 ; 0.01236501
25835.23 ; 0.01278313
25880.04 ; 0.01322827
25924.86 ; 0.01369497
25969.68 ; 0.01419189
26059.31 ; 0.01528838
26104.13 ; 0.01588404
26148.94 ; 0.01653097
26238.57 ; 0.01793505
26328.21 ; 0.01956041
26373.03 ; 0.02044447
26417.84 ; 0.02141071
26507.47 ; 0.02353961
26552.29 ; 0.02473074
26597.1 ; 0.026019
26641.92 ; 0.02738503
26686.74 ; 0.02886065
26776.37 ; 0.03218497
26821.19 ; 0.034019
26866.0 ; 0.0360359
26955.63 ; 0.04045319
27007.85 ; 0.04336481
27060.06 ; 0.04650862
27164.48 ; 0.05346523
27268.9 ; 0.06127756
