Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
12448.41 ; 3.735133
12448.81 ; 3.739094
12449.2 ; 3.741949
12449.61 ; 3.74376
12450.0 ; 3.744278
12450.41 ; 3.743531
12450.85 ; 3.741288
12451.24 ; 3.738135
12451.63 ; 3.734004
12452.4 ; 3.723568
12453.16 ; 3.711415
12453.89 ; 3.699263
12454.62 ; 3.687694
12454.99 ; 3.682302
12455.35 ; 3.677448
12455.71 ; 3.673021
12456.07 ; 3.669038
12456.52 ; 3.66469
12456.96 ; 3.661093
12457.41 ; 3.658036
12457.63 ; 3.656751
12457.85 ; 3.655593
12458.08 ; 3.654508
12458.3 ; 3.653581
12458.52 ; 3.652754
12458.74 ; 3.652018
12458.97 ; 3.651336
12459.19 ; 3.65076
12459.63 ; 3.649799
12460.08 ; 3.649035
12460.52 ; 3.648452
12460.97 ; 3.647985
12461.41 ; 3.647622
12461.86 ; 3.647321
12462.3 ; 3.647077
12463.19 ; 3.646683
12464.41 ; 3.64626
12465.62 ; 3.645901
12468.05 ; 3.645251
12472.9 ; 3.644054
12482.6 ; 3.641781
12502.0 ; 3.637345
12512.35 ; 3.634993
12552.79 ; 3.625829
12593.22 ; 3.616677
12674.08 ; 3.598387
12835.81 ; 3.561825
13159.27 ; 3.488711
13806.18 ; 3.342149
15100.0 ; 3.043849
17087.31 ; 2.553748
17392.65 ; 2.472965
17545.32 ; 2.431938
17621.66 ; 2.411279
17659.83 ; 2.400888
17697.99 ; 2.390513
17706.73 ; 2.388161
17715.46 ; 2.385851
17719.83 ; 2.384726
17724.2 ; 2.383649
17726.39 ; 2.383141
17728.57 ; 2.382672
17730.75 ; 2.382269
17731.84 ; 2.382113
17732.93 ; 2.382017
17734.07 ; 2.382041
17734.64 ; 2.382138
17735.2 ; 2.382323
17735.77 ; 2.382644
17736.33 ; 2.383144
17736.62 ; 2.3835
17736.9 ; 2.383922
17737.18 ; 2.384434
17737.46 ; 2.385053
17737.75 ; 2.385824
17738.03 ; 2.386715
17738.31 ; 2.387774
17738.59 ; 2.389024
17738.88 ; 2.390549
17739.16 ; 2.392276
17739.44 ; 2.394285
17739.72 ; 2.396609
17740.01 ; 2.399388
17740.29 ; 2.402469
17740.57 ; 2.405979
17740.85 ; 2.409958
17741.14 ; 2.414614
17741.42 ; 2.419665
17741.7 ; 2.425298
17741.98 ; 2.431544
17742.47 ; 2.44403
17742.96 ; 2.458583
17743.45 ; 2.475233
17743.93 ; 2.493521
17744.42 ; 2.514045
17744.9 ; 2.535694
17745.87 ; 2.582417
17746.84 ; 2.62922
17747.81 ; 2.670409
17748.34 ; 2.688418
17748.86 ; 2.701937
17749.42 ; 2.711175
17749.87 ; 2.714253
17750.0 ; 2.714399
17750.04 ; 2.714376
17750.14 ; 2.71418
17750.24 ; 2.713785
17750.43 ; 2.712493
17750.57 ; 2.711088
17750.86 ; 2.706983
17751.15 ; 2.701317
17751.67 ; 2.687523
17752.18 ; 2.669997
17753.14 ; 2.62897
17754.1 ; 2.582284
17755.07 ; 2.535004
17755.55 ; 2.513017
17756.03 ; 2.492528
17756.51 ; 2.473812
17756.99 ; 2.457037
17757.47 ; 2.442269
17757.95 ; 2.429485
17758.23 ; 2.422913
17758.5 ; 2.417162
17758.78 ; 2.411778
17759.05 ; 2.407113
17759.33 ; 2.402786
17759.6 ; 2.399071
17759.88 ; 2.395655
17760.15 ; 2.392746
17760.43 ; 2.390092
17760.7 ; 2.387848
17760.98 ; 2.385815
17761.25 ; 2.384107
17761.53 ; 2.382566
17761.8 ; 2.381278
17762.08 ; 2.380121
17762.35 ; 2.379155
17762.63 ; 2.378288
17762.9 ; 2.377565
17763.18 ; 2.376915
17763.45 ; 2.376371
17764.0 ; 2.375466
17764.55 ; 2.374768
17765.1 ; 2.374217
17765.65 ; 2.373769
17766.2 ; 2.373393
17766.74 ; 2.373073
17767.6 ; 2.372632
17768.46 ; 2.372243
17770.18 ; 2.371552
17773.61 ; 2.370342
17777.04 ; 2.369238
17780.47 ; 2.368188
17787.34 ; 2.366167
17794.2 ; 2.364202
17809.03 ; 2.360027
17823.86 ; 2.355889
17853.52 ; 2.34764
17912.84 ; 2.331098
18031.47 ; 2.29788
18277.54 ; 2.227758
18523.61 ; 2.155256
19015.74 ; 2.007093
20000.0 ; 1.688118
20071.57 ; 1.66352
20107.35 ; 1.651176
20125.24 ; 1.645021
20134.19 ; 1.641974
20143.13 ; 1.639009
20147.28 ; 1.637708
20149.35 ; 1.637104
20151.42 ; 1.636569
20152.46 ; 1.636354
20153.49 ; 1.636214
20154.53 ; 1.636205
20155.05 ; 1.636281
20155.56 ; 1.636433
20156.08 ; 1.636692
20156.6 ; 1.63709
20157.12 ; 1.637667
20157.63 ; 1.638456
20158.15 ; 1.639548
20158.67 ; 1.641001
20158.93 ; 1.641888
20159.19 ; 1.642894
20159.7 ; 1.645263
20160.04 ; 1.647168
20160.37 ; 1.649293
20160.7 ; 1.651715
20161.03 ; 1.654457
20161.36 ; 1.657537
20161.69 ; 1.660974
20162.02 ; 1.664782
20162.35 ; 1.668969
20163.02 ; 1.678648
20163.68 ; 1.68967
20164.34 ; 1.701991
20165.0 ; 1.715291
20166.16 ; 1.739573
20167.32 ; 1.762063
20167.94 ; 1.772024
20168.56 ; 1.779835
20169.35 ; 1.785975
20169.87 ; 1.78741
20170.0 ; 1.787431
20170.53 ; 1.786119
20171.17 ; 1.781614
20171.73 ; 1.775251
20172.29 ; 1.766928
20173.26 ; 1.748975
20174.22 ; 1.728663
20175.35 ; 1.704385
20175.91 ; 1.693046
20176.47 ; 1.682514
20177.04 ; 1.672795
20177.6 ; 1.664327
20178.16 ; 1.656961
20178.72 ; 1.650672
20179.11 ; 1.646896
20179.49 ; 1.643662
20179.87 ; 1.640833
20180.25 ; 1.638375
20180.63 ; 1.636252
20181.01 ; 1.634427
20181.39 ; 1.632865
20181.77 ; 1.631534
20182.16 ; 1.630373
20182.54 ; 1.629414
20182.92 ; 1.628598
20183.3 ; 1.627902
20183.68 ; 1.627308
20184.06 ; 1.626796
20184.44 ; 1.626353
20184.82 ; 1.625966
20185.59 ; 1.625312
20186.35 ; 1.624787
20187.11 ; 1.624338
20187.87 ; 1.623939
20189.39 ; 1.623227
20190.91 ; 1.622576
